,2012,City Name,City Code
283,39751.95,Albuquerque,US180
284,64249.34,Memphis,US181
285,38057.0,Little Rock,US186
286,29581.28,Columbia,US195
287,53516.57,Birmingham (US),US205
288,100680.69,Fort Worth,US212
289,30466.78,Charleston,US213
290,33460.13,Tucson,US223
291,26091.28,El Paso,US227
292,37219.63,Baton Rouge,US233
293,96379.31,Austin,US234
294,57881.48,Jacksonville,US237
295,79326.81,New Orleans,US241
296,44872.42,Clearwater/Saint Petersburg,US251
297,65902.91,Tampa,US252
298,15618.39,Mcallen,US261
299,37093.54,Madison,US035
300,48685.82,Buffalo,US038
301,32145.36,Grand Rapids,US039
302,43629.84,Albany,US044
303,39870.34,Providence,US060
304,22993.01,Toledo (US),US065
305,40569.11,Des Moines,US070
306,50773.47,Omaha,US077
307,24969.01,Akron,US081
308,74115.86,Salt Lake City,US089
309,83562.74,Pittsburgh,US097
