Region,Territory Level and Typology,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
  CL12: Magallanes y Antártica,,1846.63,1960.63,2044.79,2109.86,2297.66,2852.6,2709.23,2463.43,2430.14,2625.62,2917.82,3174.42,3344.43,..
  CL13: Santiago Metropolitan,,70003.3,73270.4,77360.4,85509.1,94562.8,116788,129497,128845,130085,142740,162598,178816,190134,..
  CL14: Los Rios,,1864.39,1999.12,2062.96,2291.65,2474.1,3042.96,3271.7,3242.31,3210.97,3724.48,4162.85,4443.27,4913.44,..
  CL15: Arica Y Parinacota,,965.58,1014.11,1155.5,1251.94,1291.57,1636.18,1834.34,1790.5,1753.95,1885.08,2143.81,2229.5,2412.02,..
CZE: Czech Republic,Country,180282,186791,199877,214040,227572,249992,274806,281543,282169,283343,300225,301391,305101,..
  CZ01: Prague,Large regions (TL2),41655.7,43712.2,48029.3,51561.3,55846.8,61643.1,69308.1,72046.8,72051.3,72825.6,74811.6,74454.1,75871.9,..
    CZ010: Prague,Small regions (TL3) - predominantly urban,41655.7,43712.2,48029.3,51561.3,55846.8,61643.1,69308.1,72046.8,72051.3,72825.6,74811.6,74454.1,75871.9,..
  CZ02: Central Bohemian Region,Large regions (TL2),19571.2,20475.8,21293.8,22947.3,23585.1,26838.6,29754.8,30803.8,30207.6,30063.9,32928.9,33214.2,33437.3,..
    CZ020: Central Bohemia,Small regions (TL3) - predominantly urban,19571.2,20475.8,21293.8,22947.3,23585.1,26838.6,29754.8,30803.8,30207.6,30063.9,32928.9,33214.2,33437.3,..
  CZ03: Southwest,Large regions (TL2),19264.2,19901.1,21158.3,22871.8,24105.4,26595.2,28036.1,27517,28553,28697.6,30077.6,30271.9,31097.7,..
    CZ031: South Bohemia,Small regions (TL3) - predominantly rural close to a city,10145.1,10501.4,11005.1,11691.5,12578.9,13653.2,14390.2,14257,14642.8,14494.6,15127.4,15542.9,15717.7,..
    CZ032: Plzen,,9119.15,9399.69,10153.3,11180.3,11526.5,12942,13645.9,13260,13910.2,14203,14950.2,14728.9,15380,..
  CZ04: Northwest,Large regions (TL2),16086.9,16806.1,18213.2,19098.2,20110.3,21734.6,23455,23812.2,24522.8,23822,25016.6,24732.3,24607,..
    CZ041: Karlovy Vary,Small regions (TL3) - intermediate,4386.34,4605.81,4875.9,5004.74,5178.04,5455.85,5962.32,5897.79,6077.32,5934.74,6186.22,6123.55,6231.63,..
    CZ042: Ústí nad Labem,,11700.5,12200.3,13337.3,14093.4,14932.3,16278.7,17492.7,17914.4,18445.4,17887.2,18830.4,18608.8,18375.3,..
  CZ05: Northeast,Large regions (TL2),23196.9,23686.7,24643.6,26061.1,27649.2,30151.5,32802.2,32958.8,33023.1,33486.6,35568.3,35433.2,35928.1,..
    CZ051: Liberec,Small regions (TL3) - intermediate,6787.15,6917.51,6818.4,7167.85,7950.62,8593.14,8971.84,8948.01,8859.56,9043.91,9563.82,9851.78,9925.92,..
    CZ052: Hradec Králové,,8854.5,8944.76,9427.14,10072.4,10519.4,11262.9,12447.5,12659.1,12901.4,13007.3,13593.8,13700.6,13950.9,..
    CZ053: Pardubice,Small regions (TL3) - predominantly rural close to a city,7555.22,7824.42,8398.06,8820.86,9179.16,10295.4,11382.9,11351.8,11262.1,11435.3,12410.7,11880.9,12051.3,..
  CZ06: Southeast,Large regions (TL2),25820,26604.4,28538.4,30082.8,31787.2,34912.9,38746.3,39913.6,40203.5,40265.8,43278.1,44392.9,45714,..
    CZ063: Vysocina,Small regions (TL3) - predominantly rural close to a city,7727.3,7919.19,8400.7,8755.48,9313.41,10218.5,11283.2,11006.2,11205.7,11087.7,12098,12317.8,12471.2,..
    CZ064: South Moravia,Small regions (TL3) - intermediate,18092.8,18685.2,20137.7,21327.3,22473.8,24694.5,27463.2,28907.3,28997.8,29178.1,31180.1,32075.2,33242.8,..
  CZ07: Central Moravia,Large regions (TL2),17399.7,17835.6,19100.1,20151.5,21143.6,23158.4,25248.1,26249.2,26339.5,26385.1,28279.7,28467.3,28657.5,..
    CZ071: Olomouc,Small regions (TL3) - predominantly rural close to a city,8793.09,9012.23,9702.5,10440.1,10644.8,11442.6,12529.6,12852.4,12895.5,13134.4,14156.4,14277.3,14230.2,..
    CZ072: Zlín,,8606.59,8823.39,9397.6,9711.48,10498.9,11715.8,12718.5,13396.8,13444,13250.7,14123.3,14190,14427.3,..
  CZ08: Moravia-Silesia,Large regions (TL2),17287.8,17768.9,18900.3,21266,23344.3,24957.7,27455,28241.4,27267.9,27796.3,30263.9,30425.4,29788,..
    CZ080: Moravia-Silesia,Small regions (TL3) - intermediate,17287.8,17768.9,18900.3,21266,23344.3,24957.7,27455,28241.4,27267.9,27796.3,30263.9,30425.4,29788,..
DNK: Denmark,Country,162049,169867,168541,179174,184694,202210,211218,224350,218852,231932,241284,243569,245834,..
  DK01: Capital (DK),Large regions (TL2),58945.7,60817.4,60745.3,65448.6,68911.2,72841.2,76215.6,81747.2,81511.8,89019.3,91031.3,93314.4,94961,..
    DK011: City of Copenhagen,Small regions (TL3) - predominantly urban,26809.3,28003.3,27708,29776.5,31505.4,33064.4,35076.5,37074.1,37521.5,42406.9,43082.6,43909.9,44354.5,..
    DK012: Copenhagen suburbs,,20363.2,20774.7,20886.2,22833.6,24010.9,25494.7,26143.2,28789.3,28355.6,30702.7,31918.7,32980.3,33714.8,..
    DK013: North Zealand,Small regions (TL3) - intermediate,10820.7,11043.2,11190.9,11853.5,12382.5,13167.3,13828.7,14710.6,14463,14699.3,14763.7,15150.3,15577.2,..
    DK014: Bornholm,Small regions (TL3) - predominantly rural remote,952.43,996.36,960.04,985.02,1012.33,1114.69,1167.17,1173.45,1171.62,1210.3,1266.56,1273.83,1314.27,..
  DK02: Zealand,Large regions (TL2),17432.5,18461,18339.3,19459.5,19746.1,21642.8,22307.1,22607,22370.1,23612.4,24179.7,24427.8,24927.9,..
    DK021: East Zealand,Small regions (TL3) - intermediate,4881.58,5240.53,5240.09,5716.78,5867.23,6361.64,6540.57,6330.17,6797.98,7046.47,7271.01,7220.13,7442.03,..
    DK022: West and South Zealand,Small regions (TL3) - predominantly rural remote,12551,13220.5,13099.2,13742.7,13878.9,15281.2,15766.6,16276.8,15572.1,16565.9,16908.7,17207.7,17485.9,..
  DK03: Southern Denmark,Large regions (TL2),32043.3,33760.1,33469.7,35070.7,34877.9,38893,41059.1,43403.2,42166.8,44314.2,46182.4,46207.8,47109.9,..
    DK031: Fyn,Small regions (TL3) - intermediate,11692.8,12318.7,12111.2,12704.9,12622.2,13978.7,14563.9,15659.8,15262,15698.1,16439.2,16260.4,16446.3,..
    DK032: South Jutland,,20350.4,21441.4,21358.5,22365.9,22255.7,24914.3,26495.1,27743.5,26904.7,28616.1,29743.1,29947.4,30663.5,..
  DK04: Central Jutland,Large regions (TL2),33988,36007.7,35412.2,37148.4,37166.5,41840.2,43651.8,46421.3,46223.9,46842.1,49796.5,49909.9,50789.3,..
    DK041: West Jutland,Small regions (TL3) - predominantly rural remote,12661.9,13404.3,13038.9,13760.5,13463.9,15336.6,16028.9,16720.4,16283.5,16544,17879,17567.4,17979.8,..
    DK042: East Jutland,Small regions (TL3) - intermediate,21326.1,22603.4,22373.3,23387.9,23702.6,26503.6,27623.1,29701,29940.4,30297.9,31917.5,32342.6,32809.5,..
  DK05: Northern Jutland,Large regions (TL2),15367,16453.3,16262,16616,16658.3,18522.4,19350.5,20489.2,20253.9,20707.7,21312.2,21437.3,21864,..
    DK050: North Jutland,Small regions (TL3) - predominantly rural close to a city,15367,16453.3,16262,16616,16658.3,18522.4,19350.5,20489.2,20253.9,20707.7,21312.2,21437.3,21864,..
EST: Estonia,Country,14611,16254.9,18120.3,19983,22431.2,26001.2,29268.9,30085,26959.1,28074.2,31295.7,32718.1,34035.5,..
  EE00: Estonia,Large regions (TL2),14611,16254.9,18120.3,19983,22431.2,26001.2,29268.9,30085,26959.1,28074.2,31295.7,32718.1,34035.5,..
    EE001: North Estonia,Small regions (TL3) - predominantly urban,8408.18,9474.33,10678.8,11998.8,13335.2,15764.6,17443.1,17778.4,16450.4,16765.5,18921.6,20027.5,..,..
    EE004: West Estonia,Small regions (TL3) - predominantly rural close to a city,1347.15,1428.59,1514.54,1653.24,1946.29,2183.12,2505,2499.95,2139.49,2326.63,2407.65,2476.54,..,..
    EE006: Central Estonia,Small regions (TL3) - predominantly rural remote,1044.99,1170.94,1245.79,1346.47,1440.3,1636.86,1924.71,1853.1,1626.55,1775.03,1970.76,2075.84,..,..
    EE007: Northeast Estonia,Small regions (TL3) - intermediate,1206.56,1290.34,1433.29,1535.88,1765.01,1961.92,2229.27,2408.84,2042.24,2299.91,2577.45,2478.39,..,..
    EE008: Southern Estonia,Small regions (TL3) - predominantly rural close to a city,2606.18,2886.5,3249.9,3448.53,3946.37,4454.71,5166.79,5544.71,4700.4,4907.11,5416.26,5659.86,..,..
FIN: Finland,Country,142853,147807,150204,162558,168217,181811,198374,211099,200456,205398,216885,217692,216848,..
