  US170: Raleigh,1300612
  US174: Oklahoma city,1323960
  US178: Charlotte,1474164
  US180: Albuquerque,960839
  US181: Memphis,1378346
  US186: Little Rock,712108
  US195: Columbia,697051
  US205: Birmingham (US),937789
  US212: Fort Worth,2107791
  US213: Charleston,718907
  US223: Tucson,1040867
  US227: El Paso,858421
  US233: Baton Rouge,675818
  US234: Austin,1958079
  US237: Jacksonville,1452647
  US241: New Orleans,1150702
  US251: Clearwater/Saint Petersburg,1438208
  US252: Tampa,1335571
  US261: Mcallen,876304
  US035: Madison,573789
  US038: Buffalo,1121972
  US039: Grand Rapids,614322
  US044: Albany,889447
  US060: Providence,844060
  US065: Toledo (US),436627
  US070: Des Moines,645279
  US077: Omaha,909370
  US081: Akron,541333
  US089: Salt Lake City,1195080
  US097: Pittsburgh,1200874
